name,link_website,city,region,founded_year,category,top_3_keywords,business_model,linkedin_handle,status
Easy Month End,easymonthend.com,Giga,Upper Austria,2024,FinTech/InsurTech,"['month-end close', 'financial reporting', 'collaboration']",B2B,easy-month-end,no_funding
Wiro Consulting,wiroconsulting.at,Linz,Upper Austria,2023,Professional Services,"['web technology', 'e-commerce', 'customized solutions']",B2B,wiroconsulting,no_funding
HEYRISE,heyrise.com,Wels,Upper Austria,2022,Professional Services,"['fitness', 'health', 'prevention']",B2B,heyrise,no_funding
Windpuls,windpuls.com,Linz,Upper Austria,2021,Hardware,"['wind measurement', 'sensors', 'IT solutions']",B2B,windpuls,no_funding
Daphos,daphos.ai,Linz,Upper Austria,2021,Software & Analytics,"['resource management', 'healthcare', 'analytics']",B2B,daphos-gmbh,no_funding
NOVEM Gold,novemgold.com,Linz,Upper Austria,2020,FinTech/InsurTech,"['blockchain', 'gold', 'stores']",B2C,novemgold,no_funding
Redem,redem.io,Linz,Upper Austria,2020,Software & Analytics,"['AI', 'quality assurance', 'data cleansing']",B2B,redem-technologies,no_funding
S-A-M Technologies,s-a-m.tech,Perg,Upper Austria,2020,Software & Analytics,"['agriculture', 'robotics', 'AI']",B2B,s-a-m-tech,no_funding
devjobs.at,devjobs.at,Linz,Upper Austria,2019,Recruitment,"['Jobportal', 'Programmierer', 'IT-Jobs']",B2C,devjobs-at,no_funding
Celantur,celantur.com,Linz,Upper Austria,2019,Software & Analytics,"['privacy-tech', 'anonymization', 'GDPR']",B2B,celantur,no_funding
Qapture,qapture.at,Linz,Upper Austria,2019,Software & Analytics,"['digital twins', 'reality capture', 'laser scanning']",B2B,qapture,no_funding
Lunixo,lunixo.com,Tiefgraben,Upper Austria,2019,Software & Analytics,"['digital signage', 'multimedia player', 'content management']",B2B,lunixo-digital-signage,no_funding
ForgTin,forgtin.com,Braunau Am Inn,Upper Austria,2019,Health,"['tinnitus', 'medical device', 'noise reduction']",B2C,,no_funding
Eberhart,eberhartgmbh.com,Micheldorf,Upper Austria,2019,Software & Analytics,"['valves', 'pesticides', 'artificial intelligence']",B2B,eberhartgmbh,no_funding
Digital Moulds,digitalmoulds.com,Sierning,Upper Austria,2019,Software & Analytics,"['Mould', 'monitoring', 'solutions']",B2B,digital-moulds,no_funding
Coders.Bay,codersbay.at,Linz,Upper Austria,2019,Software & Analytics,"['training', 'coding', 'software']",B2C,coders-bay,no_funding
SYN TRAC,syn-trac.at,Bad Goisern,Upper Austria,2019,Mobility,"['vehicle', 'safety', 'comfort']",B2B,syn-trac-gmbh,no_funding
hello again,helloagain.at,Leonding,Upper Austria,2017,Software & Analytics,"['customer loyalty', 'digital', 'SMEs']",B2B,hello-again-gmbh,no_funding
Testify,testify.io,Linz,Upper Austria,2017,Software & Analytics,"['digitization', 'quality assurance', 'checklist']",B2B,testify-gmbh,no_funding
LAMIE,lamie-direct.com,Linz,Upper Austria,2015,FinTech/InsurTech,"['embedded insurance', 'Telcosurance', 'digital ecosystem']",B2B2C,lamie-direkt,no_funding
Metaloop,metaloop.eu,Graz,Styria,2022,FinTech/InsurTech,"['scrap trading', 'metal recycling', 'trade discovery']",B2B,metaloop,funding
Luminous Labs,luminousred.com,Graz,Styria,2021,Health,"['longevity', 'biohacking', 'light-centered']",B2C,,funding
Econutri,econutri.com,Graz,Styria,2021,Health,"['sustainable', 'protein', 'CO2']",B2B,econutri-gmbh,funding
blackshark.ai,blackshark.ai,Graz,Styria,2020,Software & Analytics,"['satellite imagery', 'machine learning', 'feature detection']",B2B,blackshark-ai,funding
Seasy,seasy.at,Graz,Styria,2020,Professional Services,"['marina', 'sailing', 'booking']",B2B2C,seasyofficial,funding
Joinpoints,joinpoints.net,Graz,Styria,2019,Software & Analytics,"['workflow', 'platform', 'neural networks']",B2B,joinpoints,funding
Leftshift One,leftshiftone.com,Graz,Styria,2017,Software & Analytics,"['Artificial Intelligence', 'Generative AI', 'customized AI solutions']",B2B,leftshift-one,funding
Schrott24,schrott24.de,Graz,Styria,2016,Software & Analytics,"['scrap metal', 'circular economy', 'technology']",B2B,schrott-24,funding
clone:it,cloneit.at,Graz,Styria,2023,ConstructionTech/Green Building,"['digital clones', 'construction site', 'civil engineering']",B2B,clone-it,no_funding
slamstr,slamstr.com,Graz,Styria,2023,Software & Analytics,"['tennis', 'app', 'scoring']",B2C,slamstr-gmbh,no_funding
personly,personly.com,Graz,Styria,2022,Software & Analytics,"['matching', 'chat', 'personal']",B2C,personly-com,no_funding
SHOMUGO,shomugo.at,Graz,Styria,2022,e-commerce,"['e-commerce', 'marketplace', 'online store']",B2B2C,shomugo,no_funding
kutschi.consulting,kutschi.consulting,Voitsberg,Styria,2021,Professional Services,"['consulting', 'digitalization', 'transformation']",B2B,kutschi-consulting,no_funding
Testiny,testiny.io,Graz,Styria,2021,Software & Analytics,"['test management', 'software', 'modern']",B2B,testiny,no_funding
Beyond Now,beyondnow.com,Premstatten,Styria,2021,Software & Analytics,"['digital platform', 'SaaS', 'monetizing 5G']",B2B,beyondnowplatforms,no_funding
Factinsect,factinsect.com,Graz,Styria,2020,Professional Services,"['fact-check', 'misinformation', 'artificial intelligence']",B2B,,no_funding
atmoky,atmoky.com,Graz,Styria,2020,Media & Entertainment,"['spatial audio', 'hyper-realistic', 'software']",B2B,atmoky,no_funding
Probando,probando.io,Graz,Styria,2020,Health,"['therapies', 'studies', 'health']",platform,probandostudies,no_funding
Trever,trever.io,Graz,Styria,2019,Software & Analytics,"['fintech', 'digital assets', 'financial institutions']",B2B,treverio,no_funding
SkinScreener,skinscreener.com,Graz,Styria,2019,Software & Analytics,"['skin cancer', 'risk assessment', 'AI']",B2C,skinscreener,no_funding
BirdShades,birdshades.com,Leoben,Styria,2019,Professional Services,"['bird protection', 'window film', 'collisions']",B2B,birdshades,no_funding
ARTI,arti-robots.com,Graz,Styria,2019,Mobility,"['robotic solutions', 'urban logistics', 'autonomous mobile robots']",B2B,arti-robots,no_funding
Clean Code Software,cleancode-software.com,Raaba,Styria,2019,Professional Services,"['development', 'quality', 'performance']",B2B,cleancode-software,no_funding
myAcker,myacker.com,Spittal an der Drau,Carinthia,2018,AgTech/FoodTech,"['online garden', 'organic harvests', 'vegetable fans']",B2C,myacker,funding
AlbaJet Charter,albajet.com,Krumpendorf,Carinthia,2019,Software & Analytics,"['private jet', 'booking', 'charter']",platform,albajet,no_funding
OE Service,oeservice.eu,Klagenfurt,Carinthia,2019,Software & Analytics,"['management systems', 'compliance', 'administrative requirements']",B2B,oeservice,no_funding
Dejure Technologies,dejuretechnologies.com,Klagenfurt,Carinthia,2019,Software & Analytics,"['IT consultancy', 'software development', 'Machine Learning']",B2B,,no_funding
SynoptiCons,synopticons.com,Klagenfurt,Carinthia,2019,Professional Services,"['quality', 'clients', 'responsibility']",B2B,synopticons,no_funding
Cleanhearing,cleanhearing.com,Spittal an der Drau,Carinthia,2017,Health,"['tinnitus', 'therapy', 'technology']",B2C,cleanhearing,no_funding
Audvice,audvice.com,Salzburg,Salzburg,2018,Software & Analytics,"['voice messages', 'information', 'corporate']",B2B,,funding
SAGLY,sagly.at,Salzburg,Salzburg,2021,Health,"['mountain biking', 'suspension', 'app']",B2C,sagly,no_funding
Mursall Active Coating,active-coating.com,Oberalm,Salzburg,2020,Health,"['photo catalysis', 'coating', 'indoor air']",B2B,,no_funding
sproof,sproof.io,Puch Bei Hallein,Salzburg,2019,Software & Analytics,"['document signing', 'digital signature', 'trusted']",B2B,sproof,no_funding
Chatcloud,chatcloud.net,Saalfelden,Salzburg,2019,Software & Analytics,"['chat rooms', 'real-time communication', 'business']",B2B,therealchatcloud,no_funding
Alveri,alveri.at,Salzburg,Salzburg,2019,Hardware,"['mobility', 'alternative drives', 'application']",B2C,alveri,no_funding
xuuluux,xuuluux.com,Salzburg,Salzburg,2019,Software & Analytics,"['interim management', 'advising', 'manufacturing']",B2B,xuuluux,no_funding
Hololight,hololight.com,Innsbruck,Tyrol,2015,Software & Analytics,"['Augmented Reality', 'Virtual Reality', 'Industrial Metaverse']",B2B,hololightgmbh,funding
MADiscover,madiscover.com,Innsbruck,Tyrol,2019,Software & Analytics,"['M&A', 'AI', 'analytics']",B2B,madiscover,funding
DeepOpinion,deepopinion.ai,Innsbruck,Tyrol,2019,Software & Analytics,"['automation', 'B2B', 'SaaS']",B2B,deepopinion-ai,funding
Innerspace,innerspace.eu,Wattens,Tyrol,2017,Software & Analytics,"['training', 'virtual reality', 'life science']",B2B,vrinnerspace,funding
Revitalyze,revitalyze.io,Innsbruck,Tyrol,2022,ClimateTech/GreenTech/CleanTech,"['greentech', 'circular construction', 'reuse']",platform,revitalyze-io,no_funding
Futureweb,futureweb.at,Sankt Johann,Tyrol,2021,Professional Services,"['web hosting', 'website creating', 'domain services']",B2B,futureweb-gmbh-at,no_funding
Explore with us,explorewithus.eu,Innsbruck,Tyrol,2021,Professional Services,"['travel', 'Europe', 'agency']",B2C,explore-with-us-gmbh,no_funding
MXR Tactics,mxr-tactics.com,Kufstein,Tyrol,2020,Software & Analytics,"['Mixed Reality', 'training', 'tacticians']",B2B,mxr-tactics,no_funding
Green Cloud Nine,greencloudnine.com,Jenbach,Tyrol,2020,Software & Analytics,"['sustainable', 'marketplace', 'environmentally-friendly']",marketplace,green-cloud-nine,no_funding
Read-Coop,readcoop.eu,Innsbruck,Tyrol,2019,Software & Analytics,"['historical documents', 'handwritten text recognition', 'keyword spotting']",B2B,,no_funding
CoLivi,colivi.com,Gasse,Tyrol,2019,PropTech,"['shared economy', 'flexibility', 'housing']",B2C,colivi,no_funding
INNIO Group,innio.com,Tirol,Tyrol,2018,Energy,"['gas engines', 'power generation', 'renewable solutions']",B2B,innio-group,no_funding
e.battery systems,e-batterysystems.com,Wolfurt,Vorarlberg,2019,Hardware,"['battery', 'technology', 'electronics']",B2B,e-batterysystems,funding
F-Technologies,f-technologies.com,Lustenau,Vorarlberg,2021,Hardware,"['business', 'solutions', 'innovation']",B2B,f-technologies,no_funding
Gleap,gleap.io,Dornbirn,Vorarlberg,2020,Software & Analytics,"['customer feedback', 'tools', 'engage']",B2B,gleap,no_funding
Digando,digando.com,Dornbirn,Vorarlberg,2019,Professional Services,"['digital marketplace', 'construction equipment', 'rental']",marketplace,digando,no_funding
OuMaiGou,oumaigou.eu,Parndorf,,2019,e-commerce,"['European products', 'Chinese consumers', 'E-Commerce']",B2C,oumaigou,no_funding
